method,measurement,n_subjects,n_exact,mean_abs_error,median_abs_error,max_abs_error,rmse,bias,mean_abs_pct_error,max_abs_pct_error,pct_exact
avatar,collar_to_scalp_length_corrected_cm,20.0,20.0,1.7763568394002506e-16,0.0,3.552713678800501e-15,7.944109290391273e-16,1.7763568394002506e-16,6.481219931243483e-16,1.2962439862486966e-14,100.0
avatar,collar_to_scalp_length_cm,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
avatar,height_cm,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
segmentation,arm_volume_left_cm3,20.0,1.0,5055.627665314094,4014.5969977276077,10260.022916159425,5697.696545584166,4029.625373695052,241.66039672591745,2908.01839641124,5.0
segmentation,arm_volume_right_cm3,20.0,1.0,4602.770019237315,4186.198557449716,10170.953296138123,5109.311663138411,4602.770019214844,105.05354325416056,220.31388586743782,5.0
segmentation,collar_to_scalp_length_cm,20.0,0.0,127.53292524172373,135.24488144612383,144.82035924018936,131.04689153995454,-127.53292524172373,81.53752771350862,83.98737371296181,0.0
segmentation,bicep_circumference_left_cm,20.0,0.0,5.34109693978578,3.6386194341947817,31.189375278356586,8.270414949360946,-2.222098027341161,42.026305744707045,630.169553005383,0.0
segmentation,torso_volume_cm3,20.0,0.0,16851.08497020178,14350.104977770989,39104.51297062685,19296.47482659998,-16507.068978775944,41.35032413226392,100.01190935959082,0.0
segmentation,surface_area_arm_left_cm2,20.0,0.0,237.1791393998921,121.92622151744229,1850.9867156466476,458.7532944661878,5.03023815172507,39.56860556016118,627.7844223734106,0.0
segmentation,leg_volume_left_cm3,20.0,1.0,3151.2585586128507,2307.6127430902916,10984.115837371986,4157.882871178671,3151.2585586128507,26.72879185252898,96.56318826385333,5.0
segmentation,leg_volume_right_cm3,20.0,0.0,2112.345126494275,1377.1946643362744,8868.032190302389,3143.0639266565095,2105.731270037819,20.308034308056893,79.32609101030431,0.0
segmentation,wrist_circumference_right_cm,20.0,0.0,3.2282307238966323,2.9925890386232474,7.905945107865229,3.9217675774235694,-2.0373235561218395,17.848194494932734,76.78708963141409,0.0
segmentation,forearm_circumference_left_cm,20.0,0.0,3.4298140026805926,2.199317721160872,19.568588594567167,5.455245520880894,2.366890945180047,16.81090508976814,137.91059712823287,0.0
segmentation,surface_area_torso_cm2,20.0,0.0,847.0880232654215,626.3999464731774,2759.8049722624173,1062.5855662008241,-847.0880232654215,15.57612153907867,56.86517353830664,0.0
segmentation,wrist_circumference_left_cm,20.0,0.0,3.1166067278806673,2.2592546274670102,12.607644444462721,4.5307034484435444,-2.152441572621916,15.340878550300967,58.35083739034467,0.0
segmentation,thigh_circumference_right_cm,20.0,0.0,8.676777892291451,4.231192444076957,32.04099510357964,12.831778470346231,-8.57216930994743,14.835977714369374,44.41314249101331,0.0
segmentation,thigh_circumference_left_cm,20.0,0.0,7.633754145858208,4.056069734165494,29.808029107620698,11.215192013153658,-5.828233214771518,13.318794749093215,40.55757304512468,0.0
segmentation,head_volume_cm3,20.0,0.0,588.682196426231,608.8542693071295,1428.1705762162974,700.5549953415997,-588.682196426231,13.061426433194413,99.99331255997105,0.0
segmentation,trunk_length_cm,20.0,0.0,7.465223672625275,6.781516066534202,24.294192554319373,9.381633656053689,3.2113382690892935,12.503158806265521,49.45820540558254,0.0
segmentation,arm_length_left_cm,20.0,0.0,4.200480920005953,2.767367029665902,18.652634631087196,6.535654151542319,2.424954284886153,11.975663220336195,66.939487782999,0.0
segmentation,bicep_circumference_right_cm,20.0,0.0,4.096084775685001,3.6696739467141057,10.372606199673527,4.743872650254472,-3.9451698431003273,11.142614310596876,23.869536533111287,0.0
segmentation,surface_area_arm_right_cm2,20.0,0.0,193.3617928157189,172.90170504839102,558.5587252525279,235.82890747427635,-123.8695101802585,10.974173997232645,24.056511827025247,0.0
segmentation,waist_circumference_cm,20.0,0.0,8.678346674212234,8.414207536247488,27.721294885418416,10.440583932552904,-7.224179275248018,9.949391577539798,27.600093576222292,0.0
segmentation,surface_area_leg_left_cm2,20.0,0.0,206.45059416681744,183.14869396960103,673.3411992700048,270.4635519791326,27.789678037398847,8.47598712239283,61.114019009742435,0.0
segmentation,inseam_left_cm,20.0,0.0,6.115867372545059,5.054503023257908,14.926605857787628,7.813201744103359,-6.048247310833356,8.133579399143311,21.441157140409295,0.0
segmentation,inseam_right_cm,20.0,0.0,6.115867372545059,5.054503023257908,14.926605857787628,7.813201744103359,-6.048247310833356,8.133579399143311,21.441157140409295,0.0
segmentation,calf_circumference_left_cm,20.0,0.0,1.2257480455450682,0.7717967954020111,5.43709328785323,1.7565118427399269,0.019934798523670527,8.077971463471654,101.32063724023399,0.0
segmentation,outside_leg_length_left_cm,20.0,0.0,5.880924128523224,3.844217298985299,20.71058427531102,8.097336897035197,5.70936043405469,7.401687082659555,27.1478344841181,0.0
segmentation,forearm_circumference_right_cm,20.0,0.0,1.8891080238850815,1.490187515180713,7.834206062597289,2.482079622063846,0.5473808851250997,7.3559744430575,29.532097929489563,0.0
segmentation,outside_leg_length_right_cm,20.0,0.0,5.543926745740266,4.035660435761798,20.444116567378543,7.766668083681911,5.3933637634967235,7.012615763954105,25.54161788280854,0.0
segmentation,chest_circumference_cm,20.0,0.0,6.359303692912264,5.1622996144796005,15.68274188338279,7.847498298147096,6.20715794610824,6.562855069947237,17.66933426813477,0.0
segmentation,surface_area_leg_right_cm2,20.0,0.0,190.87359184476148,138.54679080211736,527.644660674132,253.47147988481683,-85.68220008161704,5.92551917141016,23.42419383107941,0.0
segmentation,arm_length_right_cm,20.0,0.0,2.6340119343085577,1.9873198427943883,16.89540830835891,4.381085510912524,0.08003790750874692,5.542679327563681,25.848854541962368,0.0
segmentation,surface_area_head_cm2,20.0,0.0,110.18366675920552,117.14611746187336,240.94549153594699,124.89408644001273,-110.18366675920552,5.396189239534446,9.258076303224708,0.0
segmentation,hip_circumference_cm,20.0,0.0,3.3245594649308936,1.1483506262464118,20.051821271000904,6.166716913003016,-0.06234777031043202,4.73202837500842,37.023867111367466,0.0
segmentation,ankle_circumference_left_cm,20.0,0.0,1.214256044159137,1.2382927313886132,2.5563469940626184,1.344835138257042,-1.214256044159137,4.655764405609868,8.493292371994215,0.0
segmentation,calf_circumference_right_cm,20.0,0.0,1.4673206841422965,1.1918033364907181,3.452535520819886,1.811685649904775,-0.42473929973984453,3.837402285019486,9.137189206015778,0.0
segmentation,ankle_circumference_right_cm,20.0,0.0,0.9136236789322728,0.9615274646574736,1.5183996835368951,0.9978102558828184,-0.9136236789322728,3.8034769694275505,6.0078965247304215,0.0
segmentation,volume_cm3,20.0,18.0,1.6537424001246108,6.548361852765083e-11,32.37787199996819,7.24158950366206,-1.6537424000824104,0.0021902867782542922,0.043054987386897774,90.0
segmentation,surface_area_total_cm2,20.0,20.0,1.0913936421275139e-11,1.0913936421275139e-11,2.1827872842550278e-11,1.2745911984060404e-11,-4.729372449219227e-12,5.68617691069298e-14,1.083528694213523e-13,100.0
segmentation,height_cm,20.0,20.0,9.947598300641402e-15,0.0,5.684341886080802e-14,2.1078103847843474e-14,-1.4210854715202005e-15,5.870336664805324e-15,3.6753794685638184e-14,100.0
