subject_id,method,n_measurements,n_exact,mean_abs_pct_error,max_abs_pct_error,worst_measurement,pct_exact
CanCan08_B_2026-02-04_12-21-25,avatar,36,30,0.051210686105828435,1.2089304461285644,forearm_circumference_left_cm,83.33333333333333
CanCan08_B_2026-02-04_12-21-25,segmentation,38,2,17.962409789892497,144.78190211886462,arm_volume_right_cm3,5.2631578947368425
CanCan08_B_2026-02-04_12-21-25,slice,32,0,60.48967832219636,397.6960275084983,bicep_circumference_left_cm,0.0
CanCan10_A_2026-02-27_09-49-56,avatar,36,11,0.9853016542311855,3.9916625171279634,trunk_length_cm,30.555555555555557
CanCan10_A_2026-02-27_09-49-56,segmentation,38,3,15.734393550404395,154.52200015882394,arm_volume_left_cm3,7.894736842105263
CanCan10_A_2026-02-27_09-49-56,slice,32,0,60.814931580246316,343.70814407716307,bicep_circumference_left_cm,0.0
CanCan10_B_2026-02-27_09-55-20,avatar,36,26,0.01812079815414187,0.33370037302105254,arm_length_right_cm,72.22222222222223
CanCan10_B_2026-02-27_09-55-20,segmentation,38,3,15.297711942734294,143.93186150877926,arm_volume_left_cm3,7.894736842105263
CanCan10_B_2026-02-27_09-55-20,slice,32,0,62.95939358596509,366.1344171083669,bicep_circumference_left_cm,0.0
cancan07_A_2026-01-28_11-48-32,avatar,36,13,1.1610279886078854,4.563035203738327,surface_area_torso_cm2,36.111111111111114
cancan07_A_2026-01-28_11-48-32,segmentation,38,3,12.550311051053754,94.82703157286117,arm_volume_left_cm3,7.894736842105263
cancan07_A_2026-01-28_11-48-32,slice,32,0,59.56714691797,353.19002966508106,bicep_circumference_left_cm,0.0
cancan07_B_2026-01-28_11-50-04,avatar,36,28,0.08540700514360561,1.7895296560348113,forearm_circumference_left_cm,77.77777777777777
cancan07_B_2026-01-28_11-50-04,segmentation,38,3,11.296716853975601,90.20004355030399,arm_volume_left_cm3,7.894736842105263
cancan07_B_2026-01-28_11-50-04,slice,32,0,55.93358956247015,356.27852585053046,bicep_circumference_left_cm,0.0
penn-mesh-1,avatar,36,30,0.09263578218830867,2.1498525097469856,calf_circumference_right_cm,83.33333333333333
penn-mesh-1,segmentation,38,6,24.059928904732296,101.32063724023399,calf_circumference_left_cm,15.789473684210526
penn-mesh-1,slice,32,5,73.68892536987927,506.340554633401,bicep_circumference_left_cm,15.625
penn-mesh-2,avatar,36,29,0.01655620339309578,0.2839779284996918,forearm_circumference_left_cm,80.55555555555556
penn-mesh-2,segmentation,38,3,26.14081332823926,204.42011089615718,arm_volume_left_cm3,7.894736842105263
penn-mesh-2,slice,32,0,58.22153048750938,385.03911490326425,bicep_circumference_left_cm,0.0
