,train,test,activation,hidden_layer_sizes,Data Transformers
21,"[0.7771965617440572, 0.8809957334538373, 0.6247845385336401]","[0.7771965617440572, 0.8809957334538373, 0.6247845385336401]",relu,"(7,)",age
22,"[0.7793532144334191, 0.8216245178352608, 0.7097569963800223]","[0.7793532144334191, 0.8216245178352608, 0.7097569963800223]",relu,"(8,)",age
23,"[0.7165537264047697, 0.8171026455995067, 0.6956141242357026]","[0.7165537264047697, 0.8171026455995067, 0.6956141242357026]",relu,"(9,)",age
24,"[0.7074405404529136, 0.8393948380531574, 0.6469670480687342]","[0.7074405404529136, 0.8393948380531574, 0.6469670480687342]",relu,"(10,)",age
25,"[0.7201446066897568, 0.8325582834649875, 0.7307437215415349]","[0.7201446066897568, 0.8325582834649875, 0.7307437215415349]",relu,"(11,)",age
26,"[0.8023340540484337, 0.79251714938148, 0.6211641435413768]","[0.8023340540484337, 0.79251714938148, 0.6211641435413768]",relu,"(12,)",age
27,"[0.8357932050673269, 0.836190947643498, 0.7125088428340777]","[0.8357932050673269, 0.836190947643498, 0.7125088428340777]",relu,"(13,)",age
28,"[0.7486976227251162, 0.8541520486988968, 0.6172014308220539]","[0.7486976227251162, 0.8541520486988968, 0.6172014308220539]",relu,"(14,)",age
29,"[0.7229237117932421, 0.8706742974373236, 0.6528676623043919]","[0.7229237117932421, 0.8706742974373236, 0.6528676623043919]",relu,"(15,)",age
30,"[0.8614432689018415, 0.9249991777730615, 0.7603827202884939]","[0.8614432689018415, 0.9249991777730615, 0.7603827202884939]",logistic,"(1,)",age and simple body
31,"[0.8400487579426451, 0.9327221110772681, 0.7616438803165569]","[0.8400487579426451, 0.9327221110772681, 0.7616438803165569]",logistic,"(2,)",age and simple body
32,"[0.8900200208891499, 0.9276169347940365, 0.7112563014153521]","[0.8900200208891499, 0.9276169347940365, 0.7112563014153521]",logistic,"(3,)",age and simple body
33,"[0.869895461627536, 0.9362848183766149, 0.7146099367623668]","[0.869895461627536, 0.9362848183766149, 0.7146099367623668]",logistic,"(4,)",age and simple body
34,"[0.8918945198780004, 0.9300763024346813, 0.7223041109205559]","[0.8918945198780004, 0.9300763024346813, 0.7223041109205559]",logistic,"(5,)",age and simple body
35,"[0.861072109029888, 0.907102574124871, 0.6626006737448702]","[0.861072109029888, 0.907102574124871, 0.6626006737448702]",logistic,"(6,)",age and simple body
