file,landmark,x,y,z
A00-09-2104_B 2025-11-19_11-54-21.obj,collar,-0.8,3.705,135.945
A00-09-2104_B 2025-11-19_11-54-21.obj,lowerBack,1.34,23.74,89.48
A00-09-2104_B 2025-11-19_11-54-21.obj,nose_tip,0.07,-12.42,150.49
CanCan011_A 2026-03-10_13-12-57.obj,r_wrist,-32.31625,-5.904375,89.2075
CanCan011_A 2026-03-10_13-12-57.obj,l_wrist,33.19307692,-6.805384615,90.55153846
CanCan011_A 2026-03-10_13-12-57.obj,r_armpit,-13.58898802,nan,121.4280657
CanCan011_A 2026-03-10_13-12-57.obj,l_armpit,15.09030101,nan,121.6082678
CanCan011_A 2026-03-10_13-12-57.obj,r_hip,-19.12,0.95,87.02838983
CanCan011_A 2026-03-10_13-12-57.obj,l_hip,21.19,-3.38,87.02838983
CanCan011_A 2026-03-10_13-12-57.obj,r_foot,-16.14,11.62,-0.01
CanCan011_A 2026-03-10_13-12-57.obj,l_foot,20.49,1.11,-0.01
CanCan011_A 2026-03-10_13-12-57.obj,crotch,1.67,-1.69,79.85937188
CanCan011_A 2026-03-10_13-12-57.obj,l_ankle,13.03263158,8.101578947,11.84263158
CanCan011_A 2026-03-10_13-12-57.obj,r_ankle,-14.80421053,6.029473684,10.06842105
CanCan011_A 2026-03-10_13-12-57.obj,lShoulder,15.1,0.95,142.87
CanCan011_A 2026-03-10_13-12-57.obj,rShoulder,-13.75,0.9,143.06
CanCan011_A 2026-03-10_13-12-57.obj,collar,0.675,0.925,142.965
CanCan011_A 2026-03-10_13-12-57.obj,lowerBack,-1.36,10.99,85.49
CanCan011_A 2026-03-10_13-12-57.obj,nose_tip,0.86,-15.98,154.44
CanCan011_B 2026-03-10_13-17-36.obj,r_wrist,-34.74307692,-3.154615385,88.25692308
CanCan011_B 2026-03-10_13-17-36.obj,l_wrist,34.14,-3.175833333,92.33333333
CanCan011_B 2026-03-10_13-17-36.obj,r_armpit,-14.2599444,nan,124.7161739
CanCan011_B 2026-03-10_13-17-36.obj,l_armpit,16.06038172,nan,125.3901534
CanCan011_B 2026-03-10_13-17-36.obj,r_hip,-18.92,0.79,86.72541284
CanCan011_B 2026-03-10_13-17-36.obj,l_hip,21.54,0.04,86.72541284
CanCan011_B 2026-03-10_13-17-36.obj,r_foot,-20.23,5.59,-0.01
CanCan011_B 2026-03-10_13-17-36.obj,l_foot,16.43,12.75,-0.01
CanCan011_B 2026-03-10_13-17-36.obj,crotch,0.67,-0.82,83.70486041
CanCan011_B 2026-03-10_13-17-36.obj,l_ankle,16.458,7.9575,11.4905
CanCan011_B 2026-03-10_13-17-36.obj,r_ankle,-13.55235294,8.39,10.89176471
CanCan011_B 2026-03-10_13-17-36.obj,lShoulder,16.94,-0.08,142.59
CanCan011_B 2026-03-10_13-17-36.obj,rShoulder,-14.55,-1.32,142.3
CanCan011_B 2026-03-10_13-17-36.obj,collar,1.195,-0.7,142.445
CanCan011_B 2026-03-10_13-17-36.obj,lowerBack,0.8,12.65,88.65
CanCan011_B 2026-03-10_13-17-36.obj,nose_tip,0.03,-15.91,154.88
CanCan01_A 2025-10-27_11-10-43.obj,r_wrist,-36.2725,2.8685,82.8705
CanCan01_A 2025-10-27_11-10-43.obj,l_wrist,33.78,1.301538462,72.05923077
CanCan01_A 2025-10-27_11-10-43.obj,r_armpit,-23.06436203,nan,99.32030808
CanCan01_A 2025-10-27_11-10-43.obj,l_armpit,20.97037041,nan,99.93403555
CanCan01_A 2025-10-27_11-10-43.obj,r_hip,-24.53,8.38,68.04025641
CanCan01_A 2025-10-27_11-10-43.obj,l_hip,18.46,3.26,68.04025641
CanCan01_A 2025-10-27_11-10-43.obj,r_foot,-17.9,-4.72,-0.03
CanCan01_A 2025-10-27_11-10-43.obj,l_foot,20.3,11.58,-0.02
CanCan01_A 2025-10-27_11-10-43.obj,crotch,-0.98,6.85,56.12006486
CanCan01_A 2025-10-27_11-10-43.obj,l_ankle,15.44142857,10.02380952,8.930952381
CanCan01_A 2025-10-27_11-10-43.obj,r_ankle,-15.16705882,10.49882353,7.967647059
CanCan01_A 2025-10-27_11-10-43.obj,lShoulder,21.05,6.25,128.42
CanCan01_A 2025-10-27_11-10-43.obj,rShoulder,-23.49,7.75,127.47
CanCan01_A 2025-10-27_11-10-43.obj,collar,-1.22,7,127.945
CanCan01_A 2025-10-27_11-10-43.obj,lowerBack,1.07,18.6,67.6
CanCan01_A 2025-10-27_11-10-43.obj,nose_tip,-0.13,-6.75,142.59
CanCan01_B 2025-10-27_11-22-43.obj,r_wrist,-30.88833333,2.043333333,69.17666667
CanCan01_B 2025-10-27_11-22-43.obj,l_wrist,33.35416667,0.3608333333,69.5475
CanCan01_B 2025-10-27_11-22-43.obj,r_armpit,-21.01951534,nan,97.776381
CanCan01_B 2025-10-27_11-22-43.obj,l_armpit,23.53833289,nan,97.87279572
CanCan01_B 2025-10-27_11-22-43.obj,r_hip,-22.08,9,73.72733333
CanCan01_B 2025-10-27_11-22-43.obj,l_hip,21.64,3.51,73.72733333
CanCan01_B 2025-10-27_11-22-43.obj,r_foot,-21.15,15.09,-9.2399601e-16
CanCan01_B 2025-10-27_11-22-43.obj,l_foot,24,5.58,-0.01
CanCan01_B 2025-10-27_11-22-43.obj,crotch,-0.41,6.36,64.56727821
CanCan01_B 2025-10-27_11-22-43.obj,l_ankle,18.6735,7.362,8.2095
CanCan01_B 2025-10-27_11-22-43.obj,r_ankle,-16.74705882,11.1,8.405882353
CanCan01_B 2025-10-27_11-22-43.obj,lShoulder,23.73,7.29,127.3
CanCan01_B 2025-10-27_11-22-43.obj,rShoulder,-21.05,6.02,125.05
CanCan01_B 2025-10-27_11-22-43.obj,collar,1.34,6.655,126.175
CanCan01_B 2025-10-27_11-22-43.obj,lowerBack,0.22,22.61,71.66
CanCan01_B 2025-10-27_11-22-43.obj,nose_tip,1.51,-6.6,142
CanCan02_A 2025-11-13_11-42-08.obj,r_wrist,-32.53466667,5.121333333,86.55266667
CanCan02_A 2025-11-13_11-42-08.obj,l_wrist,30.265,6.175555556,82.14944444
